,Region,Agegroup,Sex,Year,Rate
5698,NORTH EAST,85+,Male,1994-01-01 00:00:00,99.16262670780081
5911,NORTH EAST,UNDER 25,Male,1995-01-01 00:00:00,0.0
5912,NORTH EAST,25-34,Male,1995-01-01 00:00:00,0.0
5913,NORTH EAST,35-44,Male,1995-01-01 00:00:00,0.0
5915,NORTH EAST,45-54,Male,1995-01-01 00:00:00,2.4747115414359513
5918,NORTH EAST,55-64,Male,1995-01-01 00:00:00,3.743131353965473
5921,NORTH EAST,65-74,Male,1995-01-01 00:00:00,15.47846672129655
5924,NORTH EAST,75-84,Male,1995-01-01 00:00:00,33.70904877277994
5927,NORTH EAST,85+,Male,1995-01-01 00:00:00,74.92240179813764
6140,NORTH EAST,UNDER 25,Male,1996-01-01 00:00:00,0.23914634321326592
6141,NORTH EAST,25-34,Male,1996-01-01 00:00:00,0.0
6142,NORTH EAST,35-44,Male,1996-01-01 00:00:00,0.5613341790768298
6144,NORTH EAST,45-54,Male,1996-01-01 00:00:00,1.8162774787646891
6147,NORTH EAST,55-64,Male,1996-01-01 00:00:00,4.551212518868568
6150,NORTH EAST,65-74,Male,1996-01-01 00:00:00,17.40596200003664
6153,NORTH EAST,75-84,Male,1996-01-01 00:00:00,46.53515427415276
6156,NORTH EAST,85+,Male,1996-01-01 00:00:00,72.4112961622013
6369,NORTH EAST,UNDER 25,Male,1997-01-01 00:00:00,0.0
6370,NORTH EAST,25-34,Male,1997-01-01 00:00:00,0.0
6371,NORTH EAST,35-44,Male,1997-01-01 00:00:00,0.0
6373,NORTH EAST,45-54,Male,1997-01-01 00:00:00,0.5955287699948785
6376,NORTH EAST,55-64,Male,1997-01-01 00:00:00,12.234005948785393
6379,NORTH EAST,65-74,Male,1997-01-01 00:00:00,18.46415184918481
6382,NORTH EAST,75-84,Male,1997-01-01 00:00:00,41.08383057810819
6385,NORTH EAST,85+,Male,1997-01-01 00:00:00,40.21312958681009
6598,NORTH EAST,UNDER 25,Male,1998-01-01 00:00:00,0.0
6599,NORTH EAST,25-34,Male,1998-01-01 00:00:00,0.0
6600,NORTH EAST,35-44,Male,1998-01-01 00:00:00,0.0
6602,NORTH EAST,45-54,Male,1998-01-01 00:00:00,1.7629843799583937
6605,NORTH EAST,55-64,Male,1998-01-01 00:00:00,6.107849349895784
6608,NORTH EAST,65-74,Male,1998-01-01 00:00:00,14.83720800838302
6611,NORTH EAST,75-84,Male,1998-01-01 00:00:00,53.46062052505967
6614,NORTH EAST,85+,Male,1998-01-01 00:00:00,48.71395167575994
6827,NORTH EAST,UNDER 25,Male,1999-01-01 00:00:00,0.24720656580638778
6828,NORTH EAST,25-34,Male,1999-01-01 00:00:00,0.0
6829,NORTH EAST,35-44,Male,1999-01-01 00:00:00,0.5439335095677905
6831,NORTH EAST,45-54,Male,1999-01-01 00:00:00,1.1660107855997668
6834,NORTH EAST,55-64,Male,1999-01-01 00:00:00,11.364239012674913
6837,NORTH EAST,65-74,Male,1999-01-01 00:00:00,30.743432084963665
6840,NORTH EAST,75-84,Male,1999-01-01 00:00:00,55.68652200545728
6843,NORTH EAST,85+,Male,1999-01-01 00:00:00,65.98793363499246
7056,NORTH EAST,UNDER 25,Male,2000-01-01 00:00:00,0.0
7057,NORTH EAST,25-34,Male,2000-01-01 00:00:00,0.0
7058,NORTH EAST,35-44,Male,2000-01-01 00:00:00,0.0
7060,NORTH EAST,45-54,Male,2000-01-01 00:00:00,0.5801069717255862
7063,NORTH EAST,55-64,Male,2000-01-01 00:00:00,9.7272625238505
7066,NORTH EAST,65-74,Male,2000-01-01 00:00:00,25.19714432364332
7069,NORTH EAST,75-84,Male,2000-01-01 00:00:00,41.638756630519396
7072,NORTH EAST,85+,Male,2000-01-01 00:00:00,54.36259853220984
7286,NORTH EAST,UNDER 25,Male,2001-01-01 00:00:00,0.0
7288,NORTH EAST,25-34,Male,2001-01-01 00:00:00,0.0
7290,NORTH EAST,35-44,Male,2001-01-01 00:00:00,0.0
7293,NORTH EAST,45-54,Male,2001-01-01 00:00:00,0.5774905724664045
7297,NORTH EAST,55-64,Male,2001-01-01 00:00:00,4.418359757579328
